# z gammaA
9.999999999999999547e-08 5.336130072615011093e+57
1.013918393116299169e-07 5.190633966199166158e+57
1.028030507899538125e-07 5.049104988899553453e+57
1.042339040644032515e-07 4.911434972093581487e+57
1.056846725172182206e-07 4.777518696508304206e+57
1.071556333356801916e-07 4.647253811802822253e+57
1.086470675650721945e-07 4.520540758343333221e+57
1.101592601623759818e-07 4.397282691111106713e+57
1.116925000507166064e-07 4.277385405685170900e+57
1.132470801745647361e-07 4.160757266243197712e+57
1.148232975557073609e-07 4.047309135525521919e+57
1.164214533499974908e-07 3.936954306708767460e+57
1.180418529048936338e-07 3.829608437137051965e+57
1.196848058178002885e-07 3.725189483860056205e+57
1.213506259952203576e-07 3.623617640928742789e+57
1.230396317127308245e-07 3.524815278400787291e+57
1.247521456757932735e-07 3.428706883009096499e+57
1.264884950814107815e-07 3.335219000448069419e+57
1.282490116806429194e-07 3.244280179233498514e+57
1.300340318419909488e-07 3.155820916093194793e+57
1.318438966156651227e-07 3.069773602846606820e+57
1.336789517987466658e-07 2.986072474732839336e+57
1.355395480012564240e-07 2.904653560147551758e+57
1.374260407131433910e-07 2.825454631750363623e+57
1.393387903722054482e-07 2.748415158905357109e+57
1.412781624329551023e-07 2.673476261418380431e+57
1.432445274364453344e-07 2.600580664535680692e+57
1.452382610810642960e-07 2.529672655169679144e+57
1.472597442943182281e-07 2.460698039318197307e+57
1.493093633056122373e-07 2.393604100644738284e+57
1.513875097200440715e-07 2.328339560188131830e+57
1.534945805932251866e-07 2.264854537170744084e+57
1.556309785071431617e-07 2.203100510875284314e+57
1.577971116470798607e-07 2.143030283561107233e+57
1.599933938796004822e-07 2.084597944391635987e+57
1.622202448316276326e-07 2.027758834345344169e+57
1.644780899706165142e-07 1.972469512083498694e+57
1.667673606858455777e-07 1.918687720748544837e+57
1.690884943708388101e-07 1.866372355667780248e+57
1.714419345069352756e-07 1.815483432937627569e+57
1.738281307480216067e-07 1.765982058864495738e+57
1.762475390064440145e-07 1.717830400238870314e+57
1.787006215401159668e-07 1.670991655419923336e+57
1.811878470408382858e-07 1.625430026208528398e+57
1.837096907238485577e-07 1.581110690487196959e+57
1.862666344186167904e-07 1.537999775606023362e+57
1.888591666609050843e-07 1.496064332494291048e+57
1.914877827861082005e-07 1.455272310477951189e+57
1.941529850238937440e-07 1.415592532783747198e+57
1.968552825941592435e-07 1.376994672711235222e+57
1.995951918043248971e-07 1.339449230454518210e+57
2.023732361479806172e-07 1.302927510555947910e+57
2.051899464049058519e-07 1.267401599974592893e+57
2.080458607424816628e-07 1.232844346752685911e+57
2.109415248185143581e-07 1.199229339263766156e+57
2.138774918854900010e-07 1.166530886026637587e+57
2.168543228962803370e-07 1.134723996069731262e+57
2.198725866113196194e-07 1.103784359830854201e+57
2.229328597072734836e-07 1.073688330577726850e+57
2.260357268872200667e-07 1.044412906335120132e+57
2.291817809923648385e-07 1.015935712304763356e+57
2.323716231153101356e-07 9.882349837646001891e+56
2.356058627149015262e-07 9.612895494343140198e+56
2.388851177326722883e-07 9.350788152944156263e+56
2.422100147109090294e-07 9.095827488465171190e+56
2.455811889123600731e-07 8.847818638027777992e+56
2.489992844416103841e-07 8.606572051928056817e+56
2.524649543681459263e-07 8.371903348766332866e+56
2.559788608511302975e-07 8.143633174527114094e+56
2.595416752659187357e-07 7.921587065501259143e+56
2.631540783323326822e-07 7.705595314945835545e+56
2.668167602447194147e-07 7.495492843379623108e+56
2.705304208038222126e-07 7.291119072415170536e+56
2.742957695504882136e-07 7.092317802030860460e+56
2.781135259012291019e-07 6.898937091189723966e+56
2.819844192856824320e-07 6.710829141712593280e+56
2.859091892859718955e-07 6.527850185318372325e+56
2.898885857780163977e-07 6.349860373743797130e+56
2.939233690748028753e-07 6.176723671859339700e+56
2.980143100716530288e-07 6.008307753699530066e+56
3.021621903935129293e-07 5.844483901328016647e+56
3.063678025442918614e-07 5.685126906460237468e+56
3.106319500582800514e-07 5.530114974768524309e+56
3.149554476536737587e-07 5.379329632796354842e+56
3.193391213882375916e-07 5.232655637410752768e+56
3.237838088171326324e-07 5.089980887723584274e+56
3.282903591529421372e-07 4.951196339414377330e+56
3.328596334279237676e-07 4.816195921389327840e+56
3.374925046585208587e-07 4.684876454712571410e+56
3.421898580121625295e-07 4.557137573748032171e+56
3.469525909763864108e-07 4.432881649451316052e+56
3.517816135303142708e-07 4.312013714753204893e+56
3.566778483185152161e-07 4.194441391977678899e+56
3.616422308272880175e-07 4.080074822238920293e+56
3.666757095633975564e-07 3.968826596763415722e+56
3.717792462352988465e-07 3.860611690084671854e+56
3.769538159368830977e-07 3.755347395059431870e+56
3.822004073337817124e-07 3.652953259655747150e+56
3.875200228522629445e-07 3.553351025464622159e+56
3.929136788707579599e-07 3.456464567888210188e+56
3.983824059140524574e-07 3.362219837958828188e+56
4.039272488501812768e-07 3.270544805744382583e+56
4.095492670900633184e-07 3.181369405296879468e+56
4.152495347899149941e-07 3.094625481102012787e+56
4.210291410564813344e-07 3.010246735988851969e+56
4.268891901551231849e-07 2.928168680459833554e+56
4.328308017208007777e-07 2.848328583402340596e+56
4.388551109719938088e-07 2.770665424144192490e+56
4.449632689275990467e-07 2.695119845816395332e+56
4.511564426268469265e-07 2.621634109987505166e+56
4.574358153522784199e-07 2.550152052534974794e+56
4.638025868558262290e-07 2.480619040719666308e+56
4.702579735880420714e-07 2.412981931430838259e+56
4.768032089305146863e-07 2.347189030569588488e+56
4.834395434315224997e-07 2.283190053539793341e+56
4.901682450449665316e-07 2.220936086816275232e+56
4.969905993726288065e-07 2.160379550560890066e+56
5.039079099098021673e-07 2.101474162257912464e+56
5.109214982943395083e-07 2.044174901340960479e+56
5.180327045591675318e-07 1.988437974784414027e+56
5.252428873883227848e-07 1.934220783632968400e+56
5.325534243765324234e-07 1.881481890443943773e+56
5.399657122924373244e-07 1.830180987617100564e+56
5.474811673454448390e-07 1.780278866588232343e+56
5.551012254563301968e-07 1.731737387862484371e+56
5.628273425315696190e-07 1.684519451864984656e+56
5.706609947415259495e-07 1.638588970586052514e+56
5.786036788024768511e-07 1.593910839999712914e+56
5.866569122625865750e-07 1.550450913234147303e+56
5.948222337918513736e-07 1.508175974473714287e+56
6.031012034760815552e-07 1.467053713572574012e+56
6.114954031149748131e-07 1.427052701360489573e+56
6.200064365243387457e-07 1.388142365621956088e+56
6.286359298425202723e-07 1.350292967730273032e+56
6.373855318410986941e-07 1.313475579918739065e+56
6.462569142399045529e-07 1.277662063171552998e+56
6.552517720264218860e-07 1.242825045717564865e+56
6.643718237796372965e-07 1.208937902110405285e+56
6.736188119983948176e-07 1.175974732879036960e+56
6.829945034343228466e-07 1.143910344733141951e+56
6.925006894293932925e-07 1.112720231308247767e+56
7.021391862581797431e-07 1.082380554435849999e+56
7.119118354748794525e-07 1.052868125924239459e+56
7.218205042651648977e-07 1.024160389836082109e+56
7.318670858029326687e-07 9.962354052492367584e+55
7.420534996120181944e-07 9.690718294876128025e+55
7.523816919329437513e-07 9.426489018092637941e+55
7.628536360947727027e-07 9.169464275392355150e+55
7.734713328921379460e-07 8.919447626350606993e+55
7.842368109675185753e-07 8.676247986730947354e+55
7.951521271988371822e-07 8.439679482442106192e+55
8.062193670924521199e-07 8.209561307477019155e+55
8.174406451816187432e-07 7.985717585725313701e+55
8.288181054304976539e-07 7.767977236553680344e+55
8.403539216437855520e-07 7.556173844051299506e+55
8.520502978820473588e-07 7.350145529840497650e+55
8.639094688828295528e-07 7.149734829355356582e+55
8.759337004876339138e-07 6.954788571493760184e+55
8.881252900748354270e-07 6.765157761550828112e+55
9.004865669986241798e-07 6.580697467344365780e+55
9.130198930340576477e-07 6.401266708445211830e+55
9.257276628283070151e-07 6.226728348427862187e+55
9.386123043581841393e-07 6.056948990059014770e+55
9.516762793940367203e-07 5.891798873343925292e+55
9.649220839700998725e-07 5.731151776352647861e+55
9.783522488613942033e-07 5.574884918750396659e+55
9.919693400672624059e-07 5.422878867958216260e+55
1.005775959301634470e-06 5.275017447872352129e+55
1.019774744490115321e-06 5.131187650072490994e+55
1.033968370274004362e-06 4.991279547450900652e+55
1.048359548521294993e-06 4.855186210196887250e+55
1.062951028844842357e-06 4.722803624071549997e+55
1.077745599127677295e-06 4.594030610911443086e+55
1.092746086055699858e-06 4.468768751299237397e+55
1.107955355657718081e-06 4.346922309343404949e+55
1.123376313853073415e-06 4.228398159508339257e+55
1.139011907006817254e-06 4.113105715440085332e+55
1.154865122492683547e-06 4.000956860732198563e+55
1.170938989263839712e-06 3.891865881579770573e+55
1.187236578431615760e-06 3.785749401269518547e+55
1.203761003852276835e-06 3.682526316456104899e+55
1.220515422721963705e-06 3.582117735176012759e+55
1.237503036179914045e-06 3.484446916551492900e+55
1.254727089920079733e-06 3.389439212138600987e+55
1.272190874811257458e-06 3.297022008874424746e+55
1.289897727525848896e-06 3.207124673579930218e+55
1.307851031177374558e-06 3.119678498976021911e+55
1.326054215966858393e-06 3.034616651171513122e+55
1.344510759838211060e-06 2.951874118582920613e+55
1.363224189142733207e-06 2.871387662247022484e+55
1.382198079312869826e-06 2.793095767488194496e+55
1.401436055545339999e-06 2.716938596903609900e+55
1.420941793493775643e-06 2.642857944630339029e+55
1.440719019971001183e-06 2.570797191859425325e+55
1.460771513661086722e-06 2.500701263562916648e+55
1.481103105841312968e-06 2.432516586400794660e+55
1.501717681114183888e-06 2.366191047775611563e+55
1.522619178149628312e-06 2.301673956003564984e+55
1.543811590437531112e-06 2.238916001571547546e+55
1.565298967050739635e-06 2.177869219450579636e+55
1.587085413418688746e-06 2.118486952436797202e+55
1.609175092111794000e-06 2.060723815492015176e+55
1.631572223636762850e-06 2.004535661056559027e+55
1.654281087242973611e-06 1.949879545307919590e+55
1.677306021740079945e-06 1.896713695339373790e+55
1.700651426326994167e-06 1.844997477233542554e+55
1.724321761432408209e-06 1.794691365006451720e+55
1.748321549567013790e-06 1.745756910398379082e+55
1.772655376187584659e-06 1.698156713488375327e+55
1.797327890573084582e-06 1.651854394110037778e+55
1.822343806712969430e-06 1.606814564046650821e+55
1.847707904207853402e-06 1.563002799984466997e+55
1.873425029182711553e-06 1.520385617203447502e+55
1.899500095212790568e-06 1.478930443985359292e+55
1.925938084262409680e-06 1.438605596719664462e+55
1.952744047636821992e-06 1.399380255688185023e+55
1.979923106947348384e-06 1.361224441509994962e+55
2.007480455089881826e-06 1.324108992228655966e+55
2.035421357237114059e-06 1.288005541024062407e+55
2.063751151844446936e-06 1.252886494532159382e+55
2.092475251670037352e-06 1.218725011755638406e+55
2.121599144808903770e-06 1.185494983549816606e+55
2.151128395741562331e-06 1.153171012667706010e+55
2.181068646397122656e-06 1.121728394349325961e+55
2.211425617231316842e-06 1.091143097440124677e+55
2.242205108319392197e-06 1.061391746024378004e+55
2.273413000464355588e-06 1.032451601559235011e+55
2.305055256320523691e-06 1.004300545496018120e+55
2.337137921532783993e-06 9.769170623752982422e+54
2.369667125891687693e-06 9.502802233829370964e+54
2.402649084504618869e-06 9.243696703544865250e+54
2.436090098983270292e-06 8.991656002157259534e+54
2.469996558647643585e-06 8.746487498474492022e+54
